aalib 1.4rc5-18
aardvark-dns 1.11.0-1
abseil-cpp 20240116.2-2
acl 2.3.2-1
adobe-source-code-pro-fonts 2.042u+1.062i+1.026vf-1
adwaita-cursors 46.2-1
adwaita-icon-theme 46.2-1
adwaita-icon-theme-legacy 46.2-1
alsa-card-profiles 1:1.2.0-2
alsa-lib 1.2.12-1
alsa-topology-conf 1.2.5.1-3
alsa-ucm-conf 1.2.12-1
amd-ucode 20240610.9c10a208-1
aom 3.9.1-1
archlinux-keyring 20240609-1
argon2 20190702-5
at-spi2-core 2.52.0-1
attr 2.5.2-1
audit 4.0.1-3
autoconf 2.72-1
automake 1.16.5-2
avahi 1:0.8+r194+g3f79789-2
base 3-2
base-devel 1-1
bash 5.2.026-2
binutils 2.42+r91+g6224493e457-1
bison 3.8.2-6
blas 3.12.0-5
bluez 5.76-1
bluez-libs 5.76-1
bluez-utils 5.76-1
boost-libs 1.83.0-9
brltty 6.6-11
brotli 1.1.0-2
btop 1.3.2-1
btrfs-progs 6.9.2-1
bzip2 1.0.8-6
c-ares 1.29.0-1
ca-certificates 20240618-1
ca-certificates-mozilla 3.101.1-1
ca-certificates-utils 20240618-1
cairo 1.18.0-2
cantarell-fonts 1:0.303.1-1
capstone 5.0.1-3
catatonit 0.2.0-3
catppuccin-gtk-theme-mocha 1.0.3-1
cblas 3.12.0-5
cdparanoia 10.2-9
cliphist 1:0.5.0-1
cmake 3.29.6-1
comgr 6.0.2-1
composable-kernel 6.0.2-1
conmon 1:2.1.12-1
containers-common 1:0.59.1-1
coreutils 9.5-1
cpio 2.15-1
cppdap 1.58.0-2
criu 3.19-1
crun 1.15-1
cryptsetup 2.7.3-1
curl 8.8.0-1
dav1d 1.4.3-1
db5.3 5.3.28-5
dbus 1.14.10-2
dbus-broker 36-2
dbus-broker-units 36-2
dconf 0.40.0-2
ddcutil 2.1.4-1
debugedit 5.0-6
default-cursors 2-1
desktop-file-utils 0.27-1
device-mapper 2.03.24-1
diffutils 3.10-1
distrobox 1.7.2.1-1
dnsmasq 2.90-1
double-conversion 3.3.0-2
dtc 1.7.0-5
duktape 2.7.0-6
e2fsprogs 1.47.1-4
edk2-aarch64 202311-1
edk2-arm 202311-1
edk2-ovmf 202311-1
efibootmgr 18-3
efivar 39-1
eigen 3.4.0-2
expat 2.6.2-1
fakeroot 1.35-1
fcft 3.1.8-1
fd 10.1.0-1
ffmpeg 2:7.0.1-1
fftw 3.3.10-7
file 5.45-1
filesystem 2024.04.07-1
findutils 4.10.0-1
firefox 127.0.2-1
firewalld 2.1.2-3
fish 3.7.1-2
flac 1.4.3-1
flex 2.6.4-5
fmt 10.2.0-1
fontconfig 2:2.15.0-2
foot 1.17.2-1
freeglut 3.6.0-1
freeimage 3.18.0-21
freetype2 2.13.2-2
fribidi 1.0.15-1
fuse-common 3.16.2-1
fuse2 2.9.9-4
fuse3 3.16.2-1
gawk 5.3.0-1
gc 8.2.6-1
gcc 14.1.1+r58+gfc9fb69ad62-1
gcc-libs 14.1.1+r58+gfc9fb69ad62-1
gdb 14.2-2
gdb-common 14.2-2
gdbm 1.23-2
gdk-pixbuf2 2.42.12-1
geoclue 2.7.1-3
gettext 0.22.5-1
gflags 2.2.2-5
giflib 5.2.2-1
girara 0.4.4-1
git 2.45.2-1
github-cli 2.52.0-1
gitui 0.26.3-1
glib-networking 1:2.80.0-1
glib2 2.80.3-2
glibc 2.39+r52+gf8e4623421-1
glslang 14.2.0-1
glu 9.0.3-1
glusterfs 1:11.1-2
gmp 6.3.0-2
gnupg 2.4.5-1
gnutls 3.8.5-1
gobject-introspection-runtime 1.80.1-3
google-glog 0.7.0-1
gperftools 2.15-1
gpgme 1.23.2-4
gpm 1.20.7.r38.ge82d1a6-5
graphene 1.10.8-1
graphite 1:1.3.14-3
grep 3.11-1
grim 1.4.1-1
groff 1.23.0-6
grub 2:2.12-2
grub-btrfs 4.13-2
gsettings-desktop-schemas 46.0-1
gsm 1.0.22-1
gst-plugins-base 1.24.5-2
gst-plugins-base-libs 1.24.5-2
gst-plugins-good 1.24.5-2
gstreamer 1.24.5-2
gtest 1.14.0-1
gtk-update-icon-cache 1:4.14.4-1
gtk-vnc 1.3.1-1
gtk3 1:3.24.42-1
gtksourceview4 4.8.4-1
guile 3.0.10-1
gumbo-parser 0.12.1-1
gzip 1.13-2
harfbuzz 9.0.0-1
hicolor-icon-theme 0.18-1
hidapi 0.14.0-2
highway 1.2.0-1
hip-runtime-amd 6.0.2-4
hipblas 6.0.2-1
hipblaslt 6.0.2-1
hipcub 6.0.2-1
hipfft 6.0.2-1
hiprand 6.0.2-1
hipsolver 6.0.2-1
hipsparse 6.0.2-1
hsa-rocr 6.0.2-2
hsakmt-roct 6.0.0-2
http-parser 2.9.4-2
hwdata 0.383-1
hwloc 2.10.0-1
i2c-tools 4.3-6
iana-etc 20240412-1
icu 75.1-1
imath 3.1.11-2
imlib2 1.12.2-2
imv 4.5.0-2
iniparser 4.2.4-1
intel-oneapi-common 2024.1.0-1
intel-oneapi-mkl 2024.1.0-1
intel-oneapi-openmp 2024.1.0-1
intel-oneapi-tbb 2021.12.0-1
intel-oneapi-tcm 1.0.1-1
iproute2 6.9.0-1
iptables-nft 1:1.8.10-1
iputils 20240117-1
iso-codes 4.16.0-1
jansson 2.14-4
jasper 4.2.4-1
jbig2dec 0.20-1
jbigkit 2.1-8
json-c 0.17-1
json-glib 1.8.0-2
jsoncpp 1.9.5-2
jxrlib 0.2.4-2
kbd 2.6.4-1
keyutils 1.6.3-2
kmod 32-1
krb5 1.21.2-2
l-smash 2.14.5-3
lame 3.100-4
lapack 3.12.0-5
lcms2 2.16-1
leptonica 1.84.1-2
less 1:643-2
level-zero-loader 1.17.6-1
libaio 0.3.113-3
libarchive 3.7.4-1
libass 0.17.2-1
libassuan 2.5.7-2
libasyncns 1:0.8+r3+g68cd5af-2
libavc1394 0.5.4-6
libavif 1.0.4-4
libb2 0.98.1-2
libbluray 1.3.4-1
libbpf 1.4.2-1
libbs2b 3.1.0-8
libbsd 0.12.2-2
libburn 1.5.6-1
libcaca 0.99.beta20-4
libcacard 2.7.0-3
libcamera 0.3.0-1
libcamera-ipa 0.3.0-1
libcap 2.70-1
libcap-ng 0.8.5-2
libcdio 2.1.0-3
libcdio-paranoia 10.2+2.0.2-1
libcloudproviders 0.3.6-1
libcolord 1.4.7-2
libcups 2:2.4.10-1
libdaemon 0.14-5
libdatrie 0.2.13-4
libdc1394 2.2.7-1
libde265 1.0.15-2
libdeflate 1.20-2
libdisplay-info 0.2.0-1
libdovi 3.3.0-2
libdrm 2.4.122-1
libdv 1.0.0-11
libdvdnav 6.1.1-2
libdvdread 6.1.3-2
libedit 20240517_3.1-1
libei 1.2.1-1
libelf 0.191-3
libepoxy 1.5.10-2
libevdev 1.13.2-1
libevent 2.1.12-4
libfabric 1.21.0-1
libfdk-aac 2.0.3-1
libffi 3.4.6-1
libfreeaptx 0.1.1-1
libgcrypt 1.11.0-2
libgirepository 1.80.1-3
libgit2 1:1.8.1-1
libglvnd 1.7.0-1
libgpg-error 1.50-1
libgudev 238-1
libheif 1.17.6-6
libice 1.1.1-2
libidn2 2.3.7-1
libiec61883 1.2.0-7
libimagequant 4.3.1-1
libinih 58-1
libinput 1.26.1-1
libiscsi 1.20.0-2
libisl 0.26-2
libisoburn 1.5.6-1
libisofs 1.5.6-1
libjpeg-turbo 3.0.3-1
libjxl 0.10.3-1
libksba 1.6.7-1
liblc3 1.1.1-1
libldac 2.0.2.3-1
libldap 2.6.8-1
liblouis 3.30.0-1
libluv 1.48.0_2-1
libmd 1.1.0-1
libmm-glib 1.22.0-1
libmnl 1.0.5-2
libmodplug 0.8.9.0-5
libmpc 1.3.1-1
libmupdf 1.24.5-1
libmysofa 1.3.2-1
libnbd 1.20.0-3
libndp 1.8-2
libnet 2:1.3-1
libnetfilter_conntrack 1.0.9-2
libnewt 0.52.24-2
libnfnetlink 1.0.2-2
libnfs 5.0.3-1
libnftnl 1.2.6-1
libnghttp2 1.62.1-1
libnghttp3 1.4.0-1
libngtcp2 1.6.0-1
libnl 3.9.0-1
libnm 1.48.2-1
libnsl 2.0.1-1
libogg 1.3.5-2
libomxil-bellagio 0.9.3-4
libopenmpt 0.7.8-1
libosinfo 1.11.0-2
libp11-kit 0.25.3-1
libpcap 1.10.4-1
libpciaccess 0.18.1-2
libpgm 5.3.128-3
libpipeline 1.5.7-2
libpipewire 1:1.2.0-2
libplacebo 6.338.2-7
libpng 1.6.43-1
libproxy 0.5.7-1
libpsl 0.21.5-2
libpulse 17.0-3
libraqm 0.10.1-1
libraw 0.21.2-1
libraw1394 2.1.2-4
librsvg 2:2.58.1-1
libsamplerate 0.2.2-2
libsasl 2.1.28-4
libseccomp 2.5.5-3
libsecret 0.21.4-1
libshout 1:2.4.6-2
libsixel 1.10.3-5
libslirp 4.8.0-1
libsm 1.2.4-1
libsndfile 1.2.2-2
libsodium 1.0.20-1
libsoup3 3.4.4-1
libsoxr 0.1.3-3
libspeechd 0.11.5-2
libssh 0.10.6-2
libssh2 1.11.0-1
libstemmer 2.2.0-2
libsynctex 2024.2-2
libsysprof-capture 46.0-3
libtasn1 4.19.0-1
libteam 1.32-1
libthai 0.1.29-3
libtheora 1.1.1-6
libtiff 4.6.0-5
libtirpc 1.3.4-1
libtool 2.5.0+14+g9a4a0261-1
libtraceevent 1:1.8.2-2
libtracefs 1.8.0-1
libunibreak 6.1-1
libunistring 1.2-1
libunwind 1.8.1-3
liburcu 0.14.0-1
liburing 2.6-2
libusb 1.0.27-1
libutf8proc 2.9.0-1
libuv 1.48.0-2
libva 2.21.0-1
libvdpau 1.5-2
libverto 0.3.2-5
libvirt 1:10.4.0-1
libvirt-glib 5.0.0-1
libvirt-python 1:10.4.0-1
libvorbis 1.3.7-3
libvpl 2.12.0-1
libvpx 1.14.0-1
libvterm 0.3.3-1
libwacom 2.12.2-1
libwebp 1.4.0-1
libwireplumber 0.5.5-1
libx11 1.8.9-1
libxau 1.0.11-2
libxcb 1.17.0-1
libxcomposite 0.4.6-1
libxcrypt 4.4.36-1
libxcursor 1.2.2-1
libxdamage 1.1.6-1
libxdmcp 1.1.5-1
libxdp 1.4.2-1
libxext 1.3.6-1
libxfixes 6.0.1-1
libxft 2.3.8-1
libxi 1.8.1-1
libxinerama 1.1.5-1
libxkbcommon 1.7.0-2
libxkbcommon-x11 1.7.0-2
libxml2 2.13.1-1
libxmu 1.2.1-1
libxpresent 1.0.1-1
libxrandr 1.5.4-1
libxrender 0.9.11-1
libxshmfence 1.3.2-1
libxslt 1.1.41-1
libxss 1.2.4-1
libxt 1.3.0-1
libxtst 1.2.4-1
libxv 1.0.12-1
libxxf86vm 1.1.5-1
libyaml 0.2.5-2
libyuv r2426+464c51a0-1
licenses 20240206-1
lilv 0.24.24-2
linux 6.9.7.arch1-1
linux-api-headers 6.8-1
linux-firmware 20240610.9c10a208-1
linux-firmware-whence 20240610.9c10a208-1
llvm-libs 17.0.6-5
lm_sensors 1:3.6.0.r41.g31d1f125-2
lua 5.4.7-1
lua51-lpeg 1.1.0-2
luajit 2.1.1716656478-1
lv2 1.18.10-1
lvm2 2.03.24-1
lz4 1:1.9.4-3
lzo 2.10-5
m4 1.4.19-3
magma-hip 2.8.0-2
mailcap 2.1.54-1
make 4.4.1-2
mako 1.9.0-1
man-db 2.12.1-1
mbedtls2 2.28.8-3
md4c 0.5.2-1
mesa 1:24.1.2-1
miopen-hip 6.0.2-1
mkinitcpio 39.2-2
mkinitcpio-busybox 1.36.1-1
mobile-broadband-provider-info 20240407-1
mpdecimal 4.0.0-2
mpfr 4.2.1-3
mpg123 1.32.6-1
mpv 1:0.38.0-5
msgpack-c 5.0.0-2
mtdev 1.1.6-2
mujs 1.3.5-1
multipath-tools 0.9.9-1
ncurses 6.5-3
ndctl 78-2
neovim 0.10.0-5
netavark 1.11.0-2
nettle 3.10-1
networkmanager 1.48.2-1
newsboat 2.36-1
nftables 1:1.0.9-3
node-gyp 10.1.0-3
nodejs 22.3.0-1
nodejs-nopt 7.2.0-1
noto-fonts 1:24.7.1-1
noto-fonts-cjk 20230817-2
noto-fonts-emoji 1:2.042-1
noto-fonts-extra 1:24.7.1-1
npm 10.8.1-1
npth 1.7-1
nspr 4.35-3
nss 3.101.1-1
numactl 2.0.18-1
ocl-icd 2.3.2-1
ollama-rocm 0.1.48-1
onednn 3.4.1-1
onetbb 2021.13.0-1
openal 1.23.1-2
opencl-headers 2:2024.05.08-1
opencore-amr 0.1.6-1
opencv 4.10.0-3
openexr 3.2.4-1
openjpeg2 2.5.2-1
openmp 17.0.6-2
openmpi 5.0.3-1
openpmix 5.0.2-1
openssh 9.8p1-1
openssl 3.3.1-1
openucx 1.17.0-1
opus 1.5.2-1
orc 0.4.38-1
osinfo-db 20240523-1
p11-kit 0.25.3-1
pacman 6.1.0-3
pacman-mirrorlist 20231001-1
pam 1.6.1-2
pambase 20230918-1
pango 1:1.54.0-1
parted 3.6-1
paru 2.0.3-1
passt 2024_06_24.1ee2eca-1
patch 2.7.6-10
pciutils 3.13.0-1
pcre 8.45-4
pcre2 10.44-1
pcsclite 2.2.3-1
perl 5.38.2-1
perl-error 0.17029-5
perl-mailtools 2.21-7
perl-timedate 2.33-5
phodav 3.0-2
pinentry 1.3.0-1
pipewire 1:1.2.0-2
pipewire-audio 1:1.2.0-2
pipewire-jack 1:1.2.0-2
pipewire-pulse 1:1.2.0-2
pipewire-session-manager 1:1.2.0-2
pixman 0.43.4-1
pkgconf 2.1.1-1
playerctl 2.4.1-3
podman 5.1.1-1
polkit 124-2
polkit-gnome 0.105-10
popt 1.19-1
portaudio 1:19.7.0-2
procps-ng 4.0.4-3
protobuf 27.2-1
protobuf-c 1.5.0-3
prrte 3.0.5-3
psmisc 23.7-1
pybind11 2.13.1-1
python 3.12.4-1
python-attrs 23.2.0-3
python-autocommand 2.2.2-6
python-cairo 1.26.1-1
python-capng 0.8.5-2
python-cffi 1.16.0-2
python-charset-normalizer 3.3.2-2
python-contourpy 1.2.1-5
python-cryptography 42.0.6-1
python-cycler 0.12.1-2
python-dateutil 2.9.0-5
python-dbus 1.3.2-4
python-fastjsonschema 2.20.0-1
python-filelock 3.13.3-2
python-fonttools 4.53.0-1
python-future 1.0.0-1
python-gmpy2 2.2.0-1
python-gobject 3.48.2-1
python-idna 3.6-2
python-inflect 7.2.1-2
python-jaraco.context 4.3.0-4
python-jaraco.functools 4.0.1-1
python-jaraco.text 3.12.1-1
python-jinja 1:3.1.4-1
python-kiwisolver 1.4.5-3
python-markupsafe 2.1.5-2
python-matplotlib 3.8.4-2
python-more-itertools 10.2.0-2
python-mpmath 1.3.0-3
python-networkx 3.3-1
python-numpy 2.0.0-1
python-ordered-set 4.1.0-5
python-packaging 24.0-1
python-pandas 2.2.2-2
python-pillow 10.4.0-1
python-pip 24.0-2
python-platformdirs 4.2.2-1
python-pooch 1.8.2-1
python-protobuf 27.2-1
python-pycparser 2.22-2
python-pyparsing 3.1.2-2
python-pytorch-opt-rocm 2.3.1-4
python-pytz 2024.1-2
python-requests 2.32.3-1
python-scipy 1.14.0-1
python-setuptools 1:69.0.3-6
python-six 1.16.0-9
python-sympy 1.12.1-1
python-tomli 2.0.1-4
python-trove-classifiers 2024.5.22-1
python-typeguard 4.3.0-1
python-typing_extensions 4.12.2-1
python-urllib3 1.26.18-3
python-validate-pyproject 0.16-1
python-wheel 0.43.0-4
python-yaml 6.0.1-4
python311 3.11.9-2
qemu-audio-alsa 9.0.1-1
qemu-audio-dbus 9.0.1-1
qemu-audio-jack 9.0.1-1
qemu-audio-oss 9.0.1-1
qemu-audio-pa 9.0.1-1
qemu-audio-pipewire 9.0.1-1
qemu-audio-sdl 9.0.1-1
qemu-audio-spice 9.0.1-1
qemu-base 9.0.1-1
qemu-block-curl 9.0.1-1
qemu-block-dmg 9.0.1-1
qemu-block-gluster 9.0.1-1
qemu-block-iscsi 9.0.1-1
qemu-block-nfs 9.0.1-1
qemu-block-ssh 9.0.1-1
qemu-chardev-baum 9.0.1-1
qemu-chardev-spice 9.0.1-1
qemu-common 9.0.1-1
qemu-desktop 9.0.1-1
qemu-docs 9.0.1-1
qemu-emulators-full 9.0.1-1
qemu-full 9.0.1-1
qemu-hw-display-qxl 9.0.1-1
qemu-hw-display-virtio-gpu 9.0.1-1
qemu-hw-display-virtio-gpu-gl 9.0.1-1
qemu-hw-display-virtio-gpu-pci 9.0.1-1
qemu-hw-display-virtio-gpu-pci-gl 9.0.1-1
qemu-hw-display-virtio-vga 9.0.1-1
qemu-hw-display-virtio-vga-gl 9.0.1-1
qemu-hw-s390x-virtio-gpu-ccw 9.0.1-1
qemu-hw-usb-host 9.0.1-1
qemu-hw-usb-redirect 9.0.1-1
qemu-hw-usb-smartcard 9.0.1-1
qemu-img 9.0.1-1
qemu-pr-helper 9.0.1-1
qemu-system-aarch64 9.0.1-1
qemu-system-alpha 9.0.1-1
qemu-system-alpha-firmware 9.0.1-1
qemu-system-arm 9.0.1-1
qemu-system-arm-firmware 9.0.1-1
qemu-system-avr 9.0.1-1
qemu-system-cris 9.0.1-1
qemu-system-hppa 9.0.1-1
qemu-system-hppa-firmware 9.0.1-1
qemu-system-loongarch64 9.0.1-1
qemu-system-m68k 9.0.1-1
qemu-system-microblaze 9.0.1-1
qemu-system-microblaze-firmware 9.0.1-1
qemu-system-mips 9.0.1-1
qemu-system-nios2 9.0.1-1
qemu-system-or1k 9.0.1-1
qemu-system-ppc 9.0.1-1
qemu-system-ppc-firmware 9.0.1-1
qemu-system-riscv 9.0.1-1
qemu-system-riscv-firmware 9.0.1-1
qemu-system-rx 9.0.1-1
qemu-system-s390x 9.0.1-1
qemu-system-s390x-firmware 9.0.1-1
qemu-system-sh4 9.0.1-1
qemu-system-sparc 9.0.1-1
qemu-system-sparc-firmware 9.0.1-1
qemu-system-tricore 9.0.1-1
qemu-system-x86 9.0.1-1
qemu-system-x86-firmware 9.0.1-1
qemu-system-xtensa 9.0.1-1
qemu-tests 9.0.1-1
qemu-tools 9.0.1-1
qemu-ui-curses 9.0.1-1
qemu-ui-dbus 9.0.1-1
qemu-ui-egl-headless 9.0.1-1
qemu-ui-gtk 9.0.1-1
qemu-ui-opengl 9.0.1-1
qemu-ui-sdl 9.0.1-1
qemu-ui-spice-app 9.0.1-1
qemu-ui-spice-core 9.0.1-1
qemu-user 9.0.1-1
qemu-vhost-user-gpu 9.0.1-1
qhull 2020.2-4
qt6-base 6.7.2-1
qt6-translations 6.7.2-1
rav1e 0.7.1-1
rccl 6.0.2-1
readline 8.2.010-1
rhash 1.4.4-1
